alias,categories,id,id_closed,name,rating,review_count
hole-in-the-wall-murray-hill-new-york,american,7N9guQY_2a3gXXIlBQGKtA,False,Hole in the Wall Murray Hill,5.0,3
parker-and-quinn-new-york,american,IOHaEgK1zDvUvB3SfKuGCw,False,Parker & Quinn,4.0,1248
bh-kitchen-and-bar-new-york,american,6MgQz0SEOYUih2N5JOa6rg,False,BH Kitchen & Bar,4.0,115
valerie-new-york,american,zRXMvxUX_rOliKZPpkWi_g,False,Valerie,4.0,126
the-smith-new-york-2,american,C-8mGN7lt5rIraO5n-15ug,False,The Smith,4.0,2398
the-cabin-nyc-new-york-2,american,J3NT61-AH5d5Gu5tFJhYSw,False,The Cabin NYC,4.0,84
bea-new-york,american,Rc1lxc5lSKJYd162JHNMfQ,False,Bea,4.0,2279
uglyduckling-brooklyn,american,CwOAKJdX8AMz5iAoA-ZEuA,False,Uglyduckling,4.0,449
boon-european-bistro-new-york,american,ClK88VhNAqevlM8hSltcOA,False,Boon European Bistro,5.0,1
brindle-room-new-york,american,sVG1whNWHhlbjP6p027YcA,False,Brindle Room,4.0,983
friedmans-new-york-59,american,cCesIqo-LQt0cRlZAnrAZQ,False,Friedman's,4.0,2162
jacobs-pickles-new-york,american,xt4sa64WOrpJvZBDPNPNYg,False,Jacob's Pickles,4.0,3767
bensons-nyc-new-york,american,x7hsZRd_MyrUgAW91FM9qA,False,Benson's NYC,4.5,350
district-social-new-york,american,eTR6nfHvQzvKX7Dcd6JrfA,False,District Social,4.0,604
rabbithole-restaurant-brooklyn,american,np98mkA22LYf6kCwCL59pw,False,Rabbithole Restaurant,4.0,763
jane-new-york-2,american,uoT2_Wrt1noD6kZOID7tUg,False,Jane,4.0,3060
tribecas-kitchen-new-york,american,MHtbBc2np3sR7jiV9GphNg,False,Tribeca's Kitchen,4.0,428
juanchis-burger-brooklyn,american,dkAj-3gmkvdA4XkJmw6hCw,False,Juanchi's Burger,4.5,315
the-smith-new-york-7,american,Xd_l7jtUAZZAAvK8-mI2Jw,False,The Smith,4.0,839
the-brazen-tavern-new-york,american,Xu8H24NxJJxEE-9wGp_AMA,False,The Brazen Tavern,4.5,320
hole-in-the-wall-murray-hill-new-york,american,7N9guQY_2a3gXXIlBQGKtA,False,Hole in the Wall Murray Hill,5.0,3
parker-and-quinn-new-york,american,IOHaEgK1zDvUvB3SfKuGCw,False,Parker & Quinn,4.0,1248
bh-kitchen-and-bar-new-york,american,6MgQz0SEOYUih2N5JOa6rg,False,BH Kitchen & Bar,4.0,115
valerie-new-york,american,zRXMvxUX_rOliKZPpkWi_g,False,Valerie,4.0,126
chow-house-new-york,chinese,0dDCDQz7DrKkSvu9h2hcQw,False,Chow House,4.5,273
han-dynasty-new-york,chinese,wfhMIiMh2A2psCGONOVSlg,False,Han Dynasty,4.0,1150
café-china-new-york-2,chinese,xq0cX_DgxiJMXwhmEl9kUA,False,Café China,4.0,1444
wah-fung-no-1-fast-food-new-york-3,chinese,X8ZS-dgiMIJvhwf9SaDnjw,False,Wah Fung No 1 Fast Food,4.5,1242
jiang-diner-new-york,chinese,qHi_FA4zSEkFshXQ4Chc9A,False,Jiang Diner,4.5,45
shu-jiao-fu-zhou-cuisine-restaurant-new-york,chinese,lynQoI3w_pzYfHGeuUU-Qg,False,Shu Jiao Fu Zhou Cuisine Restaurant,4.5,704
joes-shanghai-new-york-2,chinese,0CjK3esfpFcxIopebzjFxA,False,Joe's Shanghai,4.0,5774
china-blue-new-york,chinese,0k678lCWQyReNi0lARlOmw,False,China Blue,4.0,640
the-tang-new-york-2,chinese,TzhAlljC_843JO7UDDUIaQ,False,The Tang,4.5,35
han-dynasty-new-york-4,chinese,ojbH3wnRu050hRhkmoxRiA,False,Han Dynasty,4.0,534
uncle-teds-modern-chinese-cuisine-new-york,chinese,SVJNB9LqI13jtVyKMZVqeg,False,Uncle Ted's Modern Chinese Cuisine,3.5,441
han-dynasty-brooklyn-2,chinese,Q1TpfbuPwKPFrNFyu-u2_g,False,Han Dynasty,4.0,212
fine-bakery-city-new-york-2,chinese,EssS0hygX61hQNZXOLKaDA,False,Fine Bakery City,3.5,33
99-favor-taste-new-york-12,chinese,Xf6e3HaP0AgMBxY7dEDkOA,False,99 Favor Taste,4.0,1663
tri-dim-shanghai-new-york-2,chinese,oowNI_aUmGEFa_VW8BFgRg,False,Tri Dim Shanghai,4.0,302
hunan-delight-brooklyn,chinese,_XLLSXPIjgoZQtwU3RCcQA,False,Hunan Delight,4.0,281
lucky-lees-new-york-2,chinese,cDHOpwHBY32eUNfanjj7Lg,False,Lucky Lee's,4.5,8
szechuan-garden-new-york,chinese,xCHApgtkLpEyh0lz-uhZvg,False,Szechuan Garden,4.0,248
meet-noodles-new-york-4,chinese,Z9t-ou4JhiBu-n4-F7hDng,False,Meet Noodles,4.5,48
21-shanghai-house-new-york-4,chinese,ynB8T3htx8s5V0YV8gVPGA,False,21 Shanghai House,4.0,407
chow-house-new-york,chinese,0dDCDQz7DrKkSvu9h2hcQw,False,Chow House,4.5,273
han-dynasty-new-york,chinese,wfhMIiMh2A2psCGONOVSlg,False,Han Dynasty,4.0,1150
café-china-new-york-2,chinese,xq0cX_DgxiJMXwhmEl9kUA,False,Café China,4.0,1444
wah-fung-no-1-fast-food-new-york-3,chinese,X8ZS-dgiMIJvhwf9SaDnjw,False,Wah Fung No 1 Fast Food,4.5,1242
jiang-diner-new-york,chinese,qHi_FA4zSEkFshXQ4Chc9A,False,Jiang Diner,4.5,45
shu-jiao-fu-zhou-cuisine-restaurant-new-york,chinese,lynQoI3w_pzYfHGeuUU-Qg,False,Shu Jiao Fu Zhou Cuisine Restaurant,4.5,704
joes-shanghai-new-york-2,chinese,0CjK3esfpFcxIopebzjFxA,False,Joe's Shanghai,4.0,5774
china-blue-new-york,chinese,0k678lCWQyReNi0lARlOmw,False,China Blue,4.0,640
the-tang-new-york-2,chinese,TzhAlljC_843JO7UDDUIaQ,False,The Tang,4.5,35
han-dynasty-new-york-4,chinese,ojbH3wnRu050hRhkmoxRiA,False,Han Dynasty,4.0,534
uncle-teds-modern-chinese-cuisine-new-york,chinese,SVJNB9LqI13jtVyKMZVqeg,False,Uncle Ted's Modern Chinese Cuisine,3.5,441
han-dynasty-brooklyn-2,chinese,Q1TpfbuPwKPFrNFyu-u2_g,False,Han Dynasty,4.0,212
fine-bakery-city-new-york-2,chinese,EssS0hygX61hQNZXOLKaDA,False,Fine Bakery City,3.5,33
99-favor-taste-new-york-12,chinese,Xf6e3HaP0AgMBxY7dEDkOA,False,99 Favor Taste,4.0,1663
tri-dim-shanghai-new-york-2,chinese,oowNI_aUmGEFa_VW8BFgRg,False,Tri Dim Shanghai,4.0,302
hunan-delight-brooklyn,chinese,_XLLSXPIjgoZQtwU3RCcQA,False,Hunan Delight,4.0,281
lucky-lees-new-york-2,chinese,cDHOpwHBY32eUNfanjj7Lg,False,Lucky Lee's,4.5,8
szechuan-garden-new-york,chinese,xCHApgtkLpEyh0lz-uhZvg,False,Szechuan Garden,4.0,248
meet-noodles-new-york-4,chinese,Z9t-ou4JhiBu-n4-F7hDng,False,Meet Noodles,4.5,48
21-shanghai-house-new-york-4,chinese,ynB8T3htx8s5V0YV8gVPGA,False,21 Shanghai House,4.0,407
trattoria-trecolori-new-york,italian,DoSU8IPq-Py_YV3kYmXPfQ,False,Trattoria Trecolori,4.0,2122
olio-e-piú-new-york-3,italian,16ZnHpuaaBt92XWeJHCC5A,False,Olio e Piú,4.0,1810
malatesta-trattoria-new-york,italian,IErfGS0DASSJfYU73m0Sqg,False,Malatesta Trattoria,4.0,1202
pepe-rosso-social-new-york-2,italian,04exhf1PZ79_Km9vHAzvfA,False,Pepe Rosso Social,4.0,781
rubirosa-new-york-2,italian,WG639VkTjmK5dzydd1BBJA,False,Rubirosa,4.5,1928
lillo-cucina-italiana-brooklyn,italian,qgY41g_eg0eNzewCXmKcaA,False,Lillo Cucina Italiana,5.0,86
supper-new-york,italian,Vs8kQ4R381y27AH018gLpg,False,Supper,4.0,1233
aunt-jakes-new-york,italian,I2lgw_7DUnwD92ND4PN-Ow,False,Aunt Jake's,4.0,1213
l-artusi-new-york,italian,rp8S7scxOkVVeG7dNneMGQ,False,L'Artusi,4.5,1703
